Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindSpeed9am,Humidity9am,Pressure9am,Cloud9am,Temp9am,RainToday,RainTomorrow
1/1/15,Albury,11.4,33.5,0,NA,NA,WSW,30,ESE,7,45,1013.5,NA,21,No,No
1/1/15,BadgerysCreek,17.4,34.7,0,NA,NA,ESE,33,NNE,7,70,1014.4,NA,23.3,No,No
1/1/15,Cobar,19.8,38.4,0,12.6,NA,NE,26,NE,19,35,1011.3,1,29.4,No,No
1/1/15,CoffsHarbour,22.9,29,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,26.1,NA,NA
1/1/15,Moree,21,38.7,0,11.6,NA,NE,52,NNE,33,54,1013.1,1,28.9,No,NA
1/1/15,Newcastle,19.2,33.2,0,NA,NA,NA,NA,NE,19,68,NA,3,25.5,No,No
1/1/15,NorahHead,20.8,28.5,0,NA,NA,NE,44,NNE,11,79,1014.7,NA,24.1,No,Yes
1/1/15,NorfolkIsland,19.7,25,23.8,NA,11.2,SW,33,NE,9,92,1016.6,5,20,Yes,No
1/1/15,Penrith,18.8,35.8,0,NA,NA,ENE,31,S,2,71,NA,NA,24,No,No
1/1/15,Richmond,18.1,34.8,0,NA,NA,ESE,39,N,7,75,1014.7,NA,22.9,No,No
1/1/15,Sydney,21.4,28.4,0,6.8,11,ENE,43,NE,15,68,1014.5,1,25.2,No,No
1/1/15,SydneyAirport,21.2,30.7,0.2,6.8,11,NE,52,NE,22,63,1014.4,1,25.7,No,No
1/1/15,WaggaWagga,10.6,35.2,0,10.6,13.1,SW,41,E,15,49,1013.1,1,22.8,No,No
1/1/15,Williamtown,20.3,33.7,0,7.6,NA,E,37,NNE,20,65,1014.5,2,26.1,No,No
1/1/15,Wollongong,19.1,25.3,0,NA,NA,S,44,ENE,19,80,1014.1,NA,23.2,No,No
1/1/15,Canberra,16.2,32.6,0,NA,NA,ESE,56,W,6,66,1013.1,NA,20.9,No,No
1/1/15,Tuggeranong,16.6,32.1,0,NA,NA,E,37,N,7,63,1013.2,NA,20.6,No,No
1/1/15,MountGinini,9.8,21.9,0,NA,NA,NW,37,WNW,13,33,NA,NA,14.5,No,No
1/1/15,Ballarat,7.2,27.4,0,NA,NA,SSE,35,SSW,19,54,1013.9,8,17,No,No
1/1/15,Bendigo,10.7,31.2,0,NA,NA,SW,43,SE,2,45,1013.1,NA,21.1,No,No
1/1/15,Sale,9.4,26.6,0,NA,NA,ENE,39,WNW,11,68,1012.9,5,17.1,No,No
1/1/15,MelbourneAirport,10.8,28.2,0,7.6,10.3,SSE,37,SSW,24,59,1013.8,7,18,No,No
1/1/15,Melbourne,14,27.3,0,7.6,10.3,SSE,37,SSW,24,67,1013.9,NA,17.6,No,No
1/1/15,Mildura,14.6,37.5,0,9.4,11.9,WSW,28,NNE,15,23,1012.1,7,25.3,No,No
1/1/15,Nhil,10.5,32.6,0,NA,NA,S,46,SSE,6,50,1013.1,NA,19.5,No,No
1/1/15,Portland,8.9,22.1,0,6.2,9.5,E,44,SW,13,86,1015.5,8,15.7,No,No
1/1/15,Watsonia,11,28.3,0,7.6,10.3,SSW,31,E,7,69,1013.8,7,17.7,No,No
